dataset,seed,n_hh_lisa,n_hh_gi,jaccard_lisa_gi,gi_star_mean,gi_star_std
compas,0,47,0,0.0,-0.11069822019388784,1.1199634214430298
compas,1,135,0,0.0,-0.06140328885290207,1.188129482018301
compas,2,52,0,0.0,-0.12568184546842576,1.1601948238013526
compas,3,169,0,0.0,-0.11493156643012362,1.3448307658016028
compas,4,20,0,0.0,-0.08268709674311664,1.0867472491986732
compas,5,49,0,0.0,-0.09480751763367565,1.1295698702533294
compas,6,97,0,0.0,-0.09340981872847394,1.167255504159631
compas,7,129,0,0.0,-0.08534745446309923,1.189929083287285
compas,8,146,0,0.0,-0.07640649297394753,1.2795317958513845
compas,9,23,0,0.0,-0.08169047225080682,1.069487729339827
german,0,3,0,0.0,-0.31820131386700745,1.0968205540257303
german,1,0,0,1.0,-0.22089742275048757,1.03121747553878
german,2,3,0,0.0,-0.1359646151993186,1.1227321168316708
german,3,0,0,1.0,-0.2516305717663465,1.1144425004221512
german,4,6,0,0.0,-0.22716540485997844,1.2054202937502685
german,5,3,0,0.0,-0.30293321366398746,1.1909016088533035
german,6,3,0,0.0,-0.28978494522557513,1.1529062033601738
german,7,0,0,1.0,-0.2500688013615625,1.1195825325431363
german,8,3,0,0.0,-0.24303368160466476,1.0477150384393952
german,9,6,0,0.0,-0.18874260363854517,1.1359082802820173
breast_cancer,0,0,0,1.0,-0.0883675542420975,1.051306566787256
breast_cancer,1,0,0,1.0,-0.0016872164612182796,1.0775649723658707
breast_cancer,2,4,0,0.0,-0.00799511996011063,1.092702728146924
breast_cancer,3,0,0,1.0,-0.1031528025387761,1.0226161346738416
breast_cancer,4,0,0,1.0,0.010541615003049955,1.014288194304407
breast_cancer,5,9,0,0.0,0.059660848853468375,1.0816431302194331
breast_cancer,6,0,0,1.0,-0.030936910579613043,1.0333236012415041
breast_cancer,7,0,0,1.0,-0.10803895819546543,1.054043156589483
breast_cancer,8,3,0,0.0,0.008015955632420281,1.0431389331052634
breast_cancer,9,0,0,1.0,-0.048704039526219295,1.0015309933999403
