method,metric,mean,std,mean_plus_minus_std
platt,delta_mean_variance,-0.00025291735770118645,0.0007537674087455258,-0.0003 ± 0.0008
platt,delta_moran_i,-0.015607588296920522,0.03581402515259995,-0.0156 ± 0.0358
platt,delta_n_HH,-0.8,2.5298221281347035,-0.8000 ± 2.5298
platt,jaccard_HH_before_after,0.29285714285714287,0.34577134515348684,0.2929 ± 0.3458
platt,brier_improvement,0.0005877953155830507,0.0030658880079118336,0.0006 ± 0.0031
isotonic,delta_mean_variance,0.0027911573035310205,0.0014817959373865102,0.0028 ± 0.0015
isotonic,delta_moran_i,0.0029739398820570763,0.04011469626451371,0.0030 ± 0.0401
isotonic,delta_n_HH,0.7,3.368151487751767,0.7000 ± 3.3682
isotonic,jaccard_HH_before_after,0.37727272727272726,0.39375177228678765,0.3773 ± 0.3938
isotonic,brier_improvement,-0.0005441961311322657,0.004552523173277749,-0.0005 ± 0.0046
