feature,grid_value,predicted_V_m,n_background_rows
hp_C,0.04832930238571752,0.0005253227846603801,100
hp_C,0.1623776739188721,0.00023866685343547247,100
hp_C,0.5455594781168515,6.334110199708914e-05,100
hp_C,1.8329807108324339,1.3701954111696483e-05,100
hp_C,6.1584821106602545,1.3581920742169698e-05,100
hp_C,20.6913808111479,1.4928988286325401e-05,100
hp_C,69.51927961775606,1.7068224867631548e-05,100
hp_C,233.57214690901213,1.7943855544707406e-05,100
hp_C,784.7599703514607,1.807708385716648e-05,100
hp_C,2636.6508987303555,1.811850658806317e-05,100
hp_C,8858.667904100832,1.813032939473241e-05,100
hp_C,29763.51441631313,1.813939180273313e-05,100
hp_C,100000.0,1.8139529343413412e-05,100
